c_last_name|c_first_name|sales
NULL|NULL|37536.03
NULL|NULL|45142.33
NULL|Alyssa|14063.70
NULL|Anna|12140.49
NULL|Arlette|3493.80
NULL|Charles|17299.98
NULL|Donald|5465.64
NULL|Elvia|1744.08
NULL|Evangeline|7763.65
NULL|Fred|3367.98
NULL|Helen|4322.42
NULL|Irene|5918.91
NULL|Janise|5909.00
NULL|Jefferson|447.16
NULL|Laura|2846.63
NULL|Linda|11160.44
NULL|Pamela|14318.40
NULL|Penny|5692.99
NULL|Richard|1222.98
NULL|Ronald|10118.50
NULL|Thomas|296.80
Ackerman|Irvin|4009.12
Acuna|Michael|15592.47
Adams|John|12567.39
Adams|Waylon|13300.20
Adams|William|2748.48
Adcock|Brett|6559.03
Aguilera|Michelle|1087.00
Akers|Hugh|1232.57
Akins|Anthony|10999.26
Albertson|Ernest|9280.93
Ali|Randy|806.19
Allen|Roy|18004.24
Almeida|Jeffrey|4239.96
Altman|Marie|3937.20
Alvarado|Ryan|4645.59
Alvarez|Christopher|2962.17
Amaral|Eldon|1326.34
Anderson|Andrew|10696.80
Anderson|Darrell|4250.64
Andrews|Jack|5285.13
Armijo|Jody|6026.58
Armstrong|Darla|3899.18
Armstrong|Tony|10188.11
Arndt|Pedro|14443.19
Ault|Sharon|747.78
Austin|Anthony|7385.06
Bailey|Wesley|2136.00
Baker|Ruth|6533.10
Banks|Dave|9871.20
Bannister|Jessica|11868.75
Barber|Candice|2915.02
Barber|Gloria|3464.72
Barnes|Robert|8153.60
Barnett|Isaac|7073.01
Barnett|Kathryn|13911.20
Barrett|Bessie|19355.58
Barrett|Doris|3648.26
Barrett|Josephine|2988.60
Barrientos|Betty|10799.95
Barron|Paul|4331.52
Barrows|Michael|14809.18
Battle|Doris|34277.36
Battle|Frank|1754.25
Baumgartner|Karen|3562.56
Bautista|Joe|207.00
Beam|Bryce|164.56
Beattie|Estella|11744.35
Beck|George|8184.00
Belanger|NULL|1444.21
Bell|Jeremiah|2456.16
Bell|Lloyd|935.92
Bell|Russell|6050.46
Bell|Terry|3327.97
Benefield|Carolyn|6441.60
Benge|Percy|308.07
Bentley|Esther|4845.07
Berger|Daniel|11051.52
Berman|Brittany|1570.14
Best|Dennis|11474.46
Betts|Joseph|1461.60
Billiot|Brett|2150.80
Bittner|Neil|2100.67
Black|Ora|17396.00
Blake|William|7928.51
Blocker|Beatrice|10552.02
Blue|Margaret|2156.96
Borden|Maricela|15209.36
Bowden|Alexandra|624.42
Bowen|Leon|9367.50
Bowers|Joseph|12689.04
Bowie|Thomas|3914.96
Bowman|Andrea|226.95
Boyd|Dennis|6562.70
Boyer|Walter|16401.48
Bradley|Barbara|16962.04
Brannon|Richard|10801.00
Bravo|Paul|2892.39
Bray|Richard|3596.74
Brenner|David|7698.50
