c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|Cheryl|Harmony|Centerville|3681|22226.45|674.64|44938.66
NULL|NULL|Mount Vernon|Forest Hills|4001|14637.41|895.86|17689.32
NULL|Margaret|Walnut Grove|Jackson|7718|8637.91|255.01|23349.86
NULL|John|Greenwood|Centerville|24159|27211.89|1604.38|43810.22
NULL|Delilah|Glenwood|Summit|25572|24999.52|989.34|38074.63
NULL|NULL|Ashland|Walnut Grove|53883|14709.49|173.84|30359.86
NULL|Eleanor|Oakdale|Shady Grove|75563|10854.45|350.88|19861.89
NULL|Bettina|Glenwood|Macedonia|86605|5955.78|301.07|34447.40
NULL|Bryan|Stringtown|Sulphur Springs|88367|33949.04|2121.91|53208.15
NULL|NULL|Pleasant Hill|Riverview|89644|28990.62|1359.76|61307.02
NULL|Thomas|Oak Hill|Franklin|98714|19488.78|578.41|31607.41
NULL|NULL|Sunnyside|Brownsville|99447|19726.98|454.26|53718.29
NULL|Joseph|Westminster|Oakland|111102|11220.90|365.73|16388.43
NULL|John|Newport|Oak Grove|123374|17746.84|986.67|31438.00
NULL|Crystal|Woodlawn|Unionville|133136|29767.46|1003.40|60351.08
NULL|Michael|Clifton|Pine Grove|137479|49515.78|2180.42|84384.41
NULL|Robert|Arcola|Gary|144808|23719.98|734.79|36043.99
NULL|Mozella|Hillcrest|Marion|153538|35164.89|917.87|47220.10
NULL|Paul|Riverview|Mount Olive|155231|41330.48|900.41|52839.06
NULL|NULL|Georgetown|Crossroads|174923|22313.61|523.07|32055.34
NULL|James|Enterprise|Pleasant Grove|179769|28157.79|1075.84|47649.63
NULL|Sandra|Oakwood|Lucas|194833|20325.16|574.07|32069.28
NULL|Eric|Plainville|Hopewell|196593|19519.90|1189.50|29424.16
NULL|NULL|Enterprise|Springdale|196857|15835.15|730.41|28742.98
NULL|NULL|White Oak|Glenwood|206301|22861.83|1045.30|48022.73
NULL|NULL|Concord|Florence|208416|12369.87|887.31|30142.79
NULL|Helen|Lakeside|Highland Park|215247|5496.36|130.26|16412.66
NULL|Angelina|Jamestown|Greenfield|216789|21386.35|1067.31|49224.98
NULL|Douglas|Unionville|Pleasant Valley|218776|13991.57|480.95|39642.78
NULL|Lola|Lone Oak|Woodlawn|236446|16233.87|992.77|41263.01
NULL|John|Lincoln|Union|264336|24600.84|804.31|40835.63
NULL|Carl|Greenwood|Arlington|274236|12034.90|806.38|21446.81
NULL|NULL|Lebanon|Woodrow|308548|20647.93|1544.58|33883.90
NULL|NULL|Glendale|Lakeview|332097|26677.94|802.64|63203.11
NULL|NULL|Oakland|Bridgeport|332170|44711.66|1417.26|82607.90
NULL|Lester|Sulphur Springs|Edgewood|343356|30112.37|587.99|46577.71
NULL|NULL|Oak Ridge|Newtown|351073|29985.51|1552.05|39195.65
NULL|NULL|Woodville|Salem|352952|20984.07|626.26|47181.87
NULL|Margaret|Enterprise|Highland|359391|20818.76|1119.16|30730.75
NULL|Andrew|Mountain View|Friendship|368742|43508.33|2503.64|82724.77
NULL|Sandra|Jamestown|Lakeview|370840|14642.58|763.95|25224.26
NULL|Jacqueline|Valley View|Liberty|374051|14654.17|837.67|49180.69
NULL|NULL|Hillcrest|Glenwood|384925|19590.60|719.04|24838.67
NULL|NULL|Mount Vernon|Lakeville|395970|15073.09|465.47|36414.86
NULL|NULL|Oak Grove|Oakdale|401641|27533.46|1646.99|52772.52
NULL|NULL|Arlington|Crossroads|423339|32425.62|1028.63|52307.51
NULL|Kathy|Woodland|Mount Olive|427694|51669.15|1688.16|96079.35
NULL|NULL|Greenwood|Summit|431655|35447.75|1546.18|80259.08
NULL|Sandra|Jamestown|Maple Grove|437006|27041.07|1490.40|53054.46
NULL|Shelley|Greenfield|Andover|466476|22635.88|1178.28|49657.69
NULL|Michelle|New Town|Wildwood|467026|38266.67|1267.02|64248.00
NULL|Ahmad|Salem|Plainview|467477|17973.93|544.64|32375.68
NULL|Susan|Lakeview|Kingston|487923|16213.54|593.04|29335.15
NULL|Edna|Waterloo|Lincoln|489847|10234.15|366.11|29573.96
NULL|Marilyn|Arlington|Liberty|491635|19169.84|1125.67|43871.75
NULL|Robert|Midway|Pine Grove|492362|9123.29|322.19|20737.69
NULL|Jessica|Summit|Woodville|500926|10626.14|652.54|12925.49
NULL|NULL|Johnsonville|Gary|510934|48674.77|1328.23|67638.72
NULL|NULL|Sulphur Springs|Mount Vernon|515411|45400.57|1933.62|63192.17
NULL|NULL|Woodlawn|Lakewood|520005|17733.53|414.66|37708.07
NULL|NULL|Lakeview|Pleasant Grove|521029|22374.96|615.90|40892.03
NULL|Rafael|Springfield|Highland Park|581911|16648.13|661.96|46970.58
NULL|NULL|Florence|Macedonia|584608|7599.13|204.62|15830.45
NULL|Cindy|Shiloh|Waterloo|584745|13293.42|525.30|22696.74
NULL|Jessica|Birmingham|Pleasant Valley|593115|31661.40|1499.45|48110.80
NULL|Norman|Farmington|Lakewood|614756|7209.86|115.86|20317.34
NULL|Drew|Welcome|Woodlawn|625732|10615.21|171.88|21252.30
NULL|NULL|Riceville|Union|631177|14996.91|218.49|36501.24
NULL|NULL|Oakwood|Shiloh|649123|24828.62|606.62|42605.56
NULL|Marya|New Hope|Five Forks|659184|29644.80|1079.46|65203.46
NULL|Ruby|Midway|Springfield|668546|16720.52|802.48|26606.92
NULL|Dick|Hamilton|Mount Vernon|684460|19534.02|1139.44|33886.88
