c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
Bell|Athena|Ms.|Y|496886|5
Black|Paul|Dr.|N|1950730|5
Bowen|Stefanie|Ms.|Y|1968956|5
Cannon|May|Miss|Y|1707154|5
Castro|Myrtle|Mrs.|N|821149|5
Fleming|Joe|Dr.|N|1342917|5
Haas|Richard|Mr.|N|696622|5
Lopez|David|Dr.|Y|2124483|5
Mack|Randi|Mrs.|Y|1193585|5
Salinas|Nicholas|Sir|N|2382248|5
Spencer|Marc|Sir|N|1419686|5
Stearns|Virginia|Miss|N|1216413|5
Tomlinson|Marsha|Dr.|N|967375|5
Joy|Gertrude|Mrs.|Y|1140865|4
Littlejohn|Larry|Mr.|Y|1338941|4
Potts|Robert|Mr.|Y|1721090|4
Smith|Caryl|Miss|Y|1468263|4
