Call_Center|Call_Center_Name|Manager|Returns_Loss
AAAAAAAACAAAAAAA|Mid Atlantic|Felipe Perkins|3267.75
AAAAAAAABAAAAAAA|NY Metro|Bob Belcher|2754.08
AAAAAAAAKAAAAAAA|Hawaii/Alaska|Gregory Altman|871.27
AAAAAAAAHAAAAAAA|Pacific Northwest|Alden Snyder|764.11
AAAAAAAAGBAAAAAA|Hawaii/Alaska_1|Travis Wilson|255.41
AAAAAAAAEAAAAAAA|North Midwest|Larry Mccray|246.36
AAAAAAAADBAAAAAA|Pacific Northwest_1|Roderick Walls|221.42
AAAAAAAACAAAAAAA|Mid Atlantic|Felipe Perkins|174.97
AAAAAAAAEBAAAAAA|California_1|Jason Brito|150.42
AAAAAAAAOAAAAAAA|Mid Atlantic_1|Clyde Scott|131.05
AAAAAAAABAAAAAAA|NY Metro|Bob Belcher|120.45
AAAAAAAANAAAAAAA|NY Metro_1|Jack Little|57.93
